,id,name,type(s),document,filename,doc,tokens,lemmas,POS,proper_nouns
0,1,bulbasaur,"['grass', 'poison']",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.,0001_bulbasaur.txt,a strange seed was planted on its back at birth the plant sprouts and grows with this pokémon,"['a', 'strange', 'seed', 'was', 'planted', 'on', 'its', 'back', 'at', 'birth', 'the', 'plant', 'sprouts', 'and', 'grows', 'with', 'this', 'pokémon']","['a', 'strange', 'seed', 'be', 'plant', 'on', 'its', 'back', 'at', 'birth', 'the', 'plant', 'sprout', 'and', 'grow', 'with', 'this', 'pokémon']","[('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('AUX', 'VBD'), ('VERB', 'VBN'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('ADP', 'IN'), ('NOUN', 'NN'), ('DET', 'DT'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('CCONJ', 'CC'), ('VERB', 'VBZ'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN')]",[]
1,2,ivysaur,"['grass', 'poison']","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",0002_ivysaur.txt,when the bulb on its back grows large it appears to lose the ability to stand on its hind legs,"['when', 'the', 'bulb', 'on', 'its', 'back', 'grows', 'large', 'it', 'appears', 'to', 'lose', 'the', 'ability', 'to', 'stand', 'on', 'its', 'hind', 'legs']","['when', 'the', 'bulb', 'on', 'its', 'back', 'grow', 'large', 'it', 'appear', 'to', 'lose', 'the', 'ability', 'to', 'stand', 'on', 'its', 'hind', 'leg']","[('SCONJ', 'WRB'), ('DET', 'DT'), ('NOUN', 'NN'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('VERB', 'VBZ'), ('ADJ', 'JJ'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PART', 'TO'), ('VERB', 'VB'), ('DET', 'DT'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('NOUN', 'NNS')]",[]
2,3,venusaur,"['grass', 'poison']",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,0003_venusaur.txt,the plant blooms when it is absorbing solar energy it stays on the move to seek sunlight,"['the', 'plant', 'blooms', 'when', 'it', 'is', 'absorbing', 'solar', 'energy', 'it', 'stays', 'on', 'the', 'move', 'to', 'seek', 'sunlight']","['the', 'plant', 'bloom', 'when', 'it', 'be', 'absorb', 'solar', 'energy', 'it', 'stay', 'on', 'the', 'move', 'to', 'seek', 'sunlight']","[('DET', 'DT'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('SCONJ', 'WRB'), ('PRON', 'PRP'), ('AUX', 'VBZ'), ('VERB', 'VBG'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('NOUN', 'NN')]",[]
3,5,charmeleon,['fire'],"When it swings its burning tail, it elevates the temperature to unbearably high levels.",0005_charmeleon.txt,when it swings its burning tail it elevates the temperature to unbearably high levels,"['when', 'it', 'swings', 'its', 'burning', 'tail', 'it', 'elevates', 'the', 'temperature', 'to', 'unbearably', 'high', 'levels']","['when', 'it', 'swing', 'its', 'burn', 'tail', 'it', 'elevate', 'the', 'temperature', 'to', 'unbearably', 'high', 'level']","[('SCONJ', 'WRB'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('VERB', 'VBG'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('DET', 'DT'), ('NOUN', 'NN'), ('ADP', 'IN'), ('ADV', 'RB'), ('ADJ', 'JJ'), ('NOUN', 'NNS')]",[]
4,6,charizard,"['fire', 'flying']",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,0006_charizard.txt,spits fire that is hot enough to melt boulders known to cause forest fires unintentionally,"['spits', 'fire', 'that', 'is', 'hot', 'enough', 'to', 'melt', 'boulders', 'known', 'to', 'cause', 'forest', 'fires', 'unintentionally']","['spit', 'fire', 'that', 'be', 'hot', 'enough', 'to', 'melt', 'boulder', 'know', 'to', 'cause', 'forest', 'fire', 'unintentionally']","[('VERB', 'VBZ'), ('NOUN', 'NN'), ('PRON', 'WDT'), ('AUX', 'VBZ'), ('ADJ', 'JJ'), ('ADV', 'RB'), ('PART', 'TO'), ('VERB', 'VB'), ('NOUN', 'NNS'), ('VERB', 'VBN'), ('PART', 'TO'), ('VERB', 'VB'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('ADV', 'RB')]",[]
5,7,squirtle,['water'],"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",0007_squirtle.txt,after birth its back swells and hardens into a shell powerfully sprays foam from its mouth,"['after', 'birth', 'its', 'back', 'swells', 'and', 'hardens', 'into', 'a', 'shell', 'powerfully', 'sprays', 'foam', 'from', 'its', 'mouth']","['after', 'birth', 'its', 'back', 'swell', 'and', 'harden', 'into', 'a', 'shell', 'powerfully', 'spray', 'foam', 'from', 'its', 'mouth']","[('ADP', 'IN'), ('NOUN', 'NN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('CCONJ', 'CC'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('DET', 'DT'), ('NOUN', 'NN'), ('ADV', 'RB'), ('VERB', 'VBZ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN')]",[]
6,8,wartortle,['water'],"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",0008_wartortle.txt,often hides in water to stalk unwary prey for swimming fast it moves its ears to maintain balance,"['often', 'hides', 'in', 'water', 'to', 'stalk', 'unwary', 'prey', 'for', 'swimming', 'fast', 'it', 'moves', 'its', 'ears', 'to', 'maintain', 'balance']","['often', 'hide', 'in', 'water', 'to', 'stalk', 'unwary', 'prey', 'for', 'swim', 'fast', 'it', 'move', 'its', 'ear', 'to', 'maintain', 'balance']","[('ADV', 'RB'), ('VERB', 'VBZ'), ('ADP', 'IN'), ('NOUN', 'NN'), ('PART', 'TO'), ('VERB', 'VB'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('VERB', 'VBG'), ('ADV', 'RB'), ('PRON', 'PRP'), ('VERB', 'VBZ'), ('PRON', 'PRP$'), ('NOUN', 'NNS'), ('PART', 'TO'), ('VERB', 'VB'), ('NOUN', 'NN')]",[]
7,9,blastoise,['water'],A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.,0009_blastoise.txt,a brutal pokémon with pressurized water jets on its shell they are used for high speed tackles,"['a', 'brutal', 'pokémon', 'with', 'pressurized', 'water', 'jets', 'on', 'its', 'shell', 'they', 'are', 'used', 'for', 'high', 'speed', 'tackles']","['a', 'brutal', 'pokémon', 'with', 'pressurized', 'water', 'jet', 'on', 'its', 'shell', 'they', 'be', 'use', 'for', 'high', 'speed', 'tackle']","[('DET', 'DT'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('ADP', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('PRON', 'PRP'), ('AUX', 'VBP'), ('VERB', 'VBN'), ('ADP', 'IN'), ('ADJ', 'JJ'), ('NOUN', 'NN'), ('NOUN', 'NNS')]",[]
8,10,caterpie,['bug'],Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,0010_caterpie.txt,its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls,"['its', 'short', 'feet', 'are', 'tipped', 'with', 'suction', 'pads', 'that', 'enable', 'it', 'to', 'tirelessly', 'climb', 'slopes', 'and', 'walls']","['its', 'short', 'foot', 'be', 'tip', 'with', 'suction', 'pad', 'that', 'enable', 'it', 'to', 'tirelessly', 'climb', 'slope', 'and', 'wall']","[('PRON', 'PRP$'), ('ADJ', 'JJ'), ('NOUN', 'NNS'), ('AUX', 'VBP'), ('VERB', 'VBN'), ('ADP', 'IN'), ('NOUN', 'NN'), ('NOUN', 'NNS'), ('PRON', 'WDT'), ('VERB', 'VBP'), ('PRON', 'PRP'), ('PART', 'TO'), ('ADV', 'RB'), ('VERB', 'VB'), ('NOUN', 'NNS'), ('CCONJ', 'CC'), ('NOUN', 'NNS')]",[]
9,11,metapod,['bug'],"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.",0011_metapod.txt,this pokémon is vulnerable to attack while its shell is soft exposing its weak and tender body,"['this', 'pokémon', 'is', 'vulnerable', 'to', 'attack', 'while', 'its', 'shell', 'is', 'soft', 'exposing', 'its', 'weak', 'and', 'tender', 'body']","['this', 'pokémon', 'be', 'vulnerable', 'to', 'attack', 'while', 'its', 'shell', 'be', 'soft', 'expose', 'its', 'weak', 'and', 'tender', 'body']","[('DET', 'DT'), ('NOUN', 'NN'), ('AUX', 'VBZ'), ('ADJ', 'JJ'), ('ADP', 'IN'), ('NOUN', 'NN'), ('SCONJ', 'IN'), ('PRON', 'PRP$'), ('NOUN', 'NN'), ('AUX', 'VBZ'), ('ADJ', 'JJ'), ('VERB', 'VBG'), ('PRON', 'PRP$'), ('ADJ', 'JJ'), ('CCONJ', 'CC'), ('ADJ', 'JJ'), ('NOUN', 'NN')]",[]
